Audience segment,Type,Campaign,Ad groups,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
Activewear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],901,"2,336",38.57%,USD,0.45,405.89
NauticaEasyStreetEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],4,11,36.36%,USD,1.22,4.88
Luxury Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],10,66,15.15%,USD,0.43,4.29
Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],300,837,35.84%,USD,0.58,174.62
All Site Visitors - 7 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],3,31,9.68%,USD,0.58,1.74
Trips by Destination,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],52,155,33.55%,USD,0.47,24.58
All Site Visitors - 180 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],214,605,35.37%,USD,0.67,143.23
After-Christmas Sale Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],5,14,35.71%,USD,0.58,2.91
Outerwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],14,88,15.91%,USD,0.52,7.34
Movie Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],"2,564","8,276",30.98%,USD,0.62,1578.29
NauticaJustSailingAlongEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],0,4,0.00%,USD,0,0.00
Avid Business News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],341,"1,087",31.37%,USD,0.80,272.20
Underwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],2,6,33.33%,USD,1.68,3.36
Boating & Sailing Enthusiasts,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],240,"1,189",20.19%,USD,1.06,255.42
NauticaWEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],62,271,22.88%,USD,1.78,110.17
Parents of Preschoolers (4-5 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],3,8,37.50%,USD,0.20,0.61
Trips by Destination,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],9,42,21.43%,USD,0.80,7.19
Snowbound Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],2,3,66.67%,USD,0.34,0.68
Women's Media Fans,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],35,216,16.20%,USD,1.00,34.92
NauticaShoppedDuringBtsSeasons20202023Recipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],6,26,23.08%,USD,1.86,11.16
Luxury Shoppers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],110,324,33.95%,USD,0.69,76.42
Only FP Site,Custom combination segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],89,426,20.89%,USD,1.45,128.89
Married,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],21,83,25.30%,USD,0.57,11.93
NauticaMwDenimPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],68,250,27.20%,USD,1.91,129.94
NauticaMEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],55,160,34.38%,USD,1.19,65.64
NauticaMEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],16,100,16.00%,USD,1.18,18.85
Outerwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],12,59,20.34%,USD,0.37,4.42
Outerwear,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],46,232,19.83%,USD,0.49,22.77
Employment,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],41,165,24.85%,USD,0.84,34.62
All Site Visitors - 360 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],306,783,39.08%,USD,0.70,214.89
Apparel & Accessories,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],19,111,17.12%,USD,0.60,11.40
Travel Buffs,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],97,281,34.52%,USD,0.77,74.75
Family Vacationers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],4,16,25.00%,USD,2.26,9.04
NauticaGenZShopperList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],1,16,6.25%,USD,1.68,1.68
SALES PAGE VISITORS - 180 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],86,195,44.10%,USD,1.00,86.00
